السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,سعر التأمين,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
33500.0,فيات باندا,2009,أزرق ,1250.0,4+1 ,١٢٠٠٠ ,اولى ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,0,0,1,1,1,1
65000.0,سكودا اوكتافيا,2011,أسود ميتالك ,1600.0,4+1 ,370000 ,يد ثالثه ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2478,1,0,1,0,1,1,1,1
60000.0,فولكسفاجن جولف,2005,أزرق ,1600.0,4+1 ,١٣٠٠٠ ,خمس ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2390,0,1,1,0,1,1,1,1
75000.0,شاحنة قلاب ميرسيدس سنجل,1979,أخضر ,1928.0,2+1 ,0000000 ,يد ثالثه ,تجاري ,فلسطينية ,ديزل ,عادي ,يدوي ,1326,0,1,0,1,1,0,1,0
38000.0,فولكسفاجن بولو,2006,أبيض ,1400.0,4+1 ,,2 ,حكومي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,0,0,0,0,0,0,0,0
70000.0,فولكسفاجن كرافتر,2008,أبيض عاجي ,2500.0,2+1 ,250000 ,1 ,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,2915,1,0,0,0,1,1,1,1
86999.0,سكودا اوكتافيا,2016,أبيض عاجي ,1600.0,4+1 ,120 الف كيلو ,استراد  ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2863,1,0,1,0,1,1,1,1
80000.0,هونداي توسان,2015,أسود ,2000.0,,,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2740,1,1,1,0,1,1,1,1
115000.0,جييب كرايزلر,2017,أحمر ,1400.0,4+1 ,37500 ,2 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,3048,1,1,1,1,1,1,1,1
43000.0,كيا بيكانتو,2016,أبيض ,1000.0,4+1 ,32 ,0 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1935,1,0,0,0,0,1,1,1
62000.0,هونداي اكسنت,2014,فيراني ,1600.0,7+1 ,,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2425,1,0,1,0,0,1,1,0
48000.0,كيا فورتي,2012,سكني ,1600.0,4+1 ,91 ,0 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,1,1,0,1,1,1,1
125000.0,كيا سبورتاج,2018,أبيض ,2000.0,5+1 ,30.000 ,0 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3528,1,1,1,1,1,1,1,1
35000.0,ستروين C1,2015,رمادي ,1250.0,4+1 ,75000 ,يد أولى ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,0,0,1,1,1,1
57000.0,هونداي اكسنت,2013,فضي ,1400.0,4+1 ,60000 ,1 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2035,1,1,0,0,0,1,1,0
92000.0,كيا سيراتو,2017,أبيض ,1600.0,4+1 ,28000 ,صفر ,خصوصي ,فلسطينية ,بنزين ,نصف اوتوماتيك ,الكتروني ,2950,1,1,1,1,1,1,1,1
117000.0,كيا سورينتو,2014,أسود ,2200.0,6+1 ,,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3738,1,1,1,1,0,1,0,0
42000.0,بيجو بارتنر,2007,رمادي ,1600.0,4+1 ,,,خصوصي ,فلسطينية ,ديزل ,عادي ,يدوي ,2340,1,0,1,0,1,0,1,0
