,السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
877,100000.0,مرسيدس 518,2008,أبيض عاجي ,3000.0,3.0,450000.0,2.0,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
878,59000.0,كيا ريو,2014,سكني ,1400.0,5.0,30000.0,1.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,0
879,23000.0,دايو نوبيرا,2001,خمري ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,0,1,1,0,1,0,1,0
880,30000.0,هونداي كوبيه,1999,أحمر ,2000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,1,1,1,1,1
881,31000.0,اودي A4,1997,أخضر ,1800.0,5.0,19000.0,4.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,1,1,1,1,1
882,62000.0,فورد ترانزيت,2002,أبيض عاجي ,2400.0,5.0,65000.0,2.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
883,58000.0,ايسوزو تروبر,1999,أبيض ,3000.0,7.0,250000.0,8.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,1,0,1,1,1,1
884,10000.0,رينو R9,1982,أبيض عاجي ,1200.0,5.0,65000.0,5.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,0,0,1,1,0,0
885,45000.0,شفروليه افيو,2010,أسود ميتالك ,1400.0,5.0,95000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,1
886,105000.0,سكودا اوكتافيا,2014,فيراني ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
